Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
93,0,-18.6117,27.622,-451.185,94906.6,-3037.52,-5049.18,-6.73435,-210.35,0
94,0,-17.8241,29.8806,-453.399,95195.4,-2087.28,-5143,-4.605,-209.96,0
95,0,-18.0584,30.674,-454.704,94992.6,-905.041,-5046.52,-1.99166,-208.911,0
96,0,-17.4957,32.6466,-454.761,94516.4,624.187,-4459.42,1.37704,-207.836,0
97,0,-16.6889,35.5937,-449.156,92690.7,2414.32,-3783.36,5.40134,-206.358,0
98,0,-14.1931,37.7424,-428.266,87705,4108.56,-3052.57,9.65417,-204.756,0
99,0,-10.5746,37.1909,-379.736,76978.4,4964.08,-1920.5,13.2067,-202.629,0
100,0,-4.90297,35.0001,-306.907,61408.8,5229.89,-521.819,17.2401,-199.944,0
101,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
151,0,0.176676,0.22349,-5.8135,1098.16,-245.369,61.6392,-9.89826,-44.3003,0
152,0,0.943757,1.11575,-28.5658,5419.72,-1188,287.262,-41.7747,-189.478,0
153,0,0.356396,1.97018,-45.5148,8733.28,-1781.46,66.3315,-39.4447,-191.751,0
154,0,-4.69541,3.49676,-68.5865,13276.7,-2166.34,-1137.89,-32.9253,-193.417,0
155,0,-7.20102,6.01884,-107.864,21117.7,-1508.89,-1722.77,-16.1103,-195.494,0
156,0,-2.45866,9.90592,-163.3,32341.1,786.212,-1043.65,4.11113,-198.007,0
157,0,0.195605,12.6528,-213.231,42362.3,3142.38,-403.306,14.5643,-198.651,0
158,0,-4.27466,15.541,-253.274,50404.8,4839.42,-766.143,19.0439,-199.016,0
159,0,-7.10308,21.0777,-295.506,58713.8,6190.19,-1186.23,20.9222,-198.714,0
160,0,-7.83438,27.004,-337.986,66849.8,7301.25,-1253.36,21.6059,-197.806,0
161,0,-9.06843,30.6556,-374.432,73668.2,8101.79,-1334.28,21.6251,-196.772,0
162,0,-9.14953,33.922,-413.318,80757.1,9253.01,-1599.69,22.37,-195.408,0
163,0,-8.7935,36.253,-455.546,88494.2,10480.3,-1329.54,23.0083,-194.277,0
164,0,-9.37467,39.1613,-485.855,93749.7,10990.8,-1369.51,22.628,-192.966,0
165,0,-9.86207,41.3554,-497.51,95298.3,10547.6,-1288.02,21.1968,-191.548,0
166,0,-10.5633,41.5085,-490.964,93220.8,9086.62,-1229.2,18.4924,-189.868,0
167,0,-9.85498,39.7448,-476.231,89947.8,7434,-1416.1,15.5932,-188.869,0
168,0,-9.39207,36.7272,-461.507,86813.2,5848.81,-1473.18,12.6588,-188.107,0
169,0,-9.85885,33.3062,-449.742,84531,4466.6,-2049.43,9.92436,-187.955,0
170,0,-10.5685,31.4302,-442.19,83205.7,3445.02,-2250.77,7.78647,-188.169,0
171,0,-10.5404,29.8341,-438.038,82834.7,2600.66,-2572,5.93697,-189.104,0
172,0,-11.3983,28.6436,-438.488,83650.2,2043.05,-2866.48,4.66046,-190.767,0
173,0,-12.2503,26.2004,-440.98,85209.6,1580.97,-3617.42,3.58603,-193.226,0
174,0,-14.3589,23.745,-443.812,86796.6,1323.41,-4047.09,2.98126,-195.566,0
175,0,-14.3825,21.1808,-448.064,88707.7,1573.19,-4295.81,3.50921,-197.976,0
176,0,-13.9126,18.823,-452.261,90281.3,1990.16,-4275.62,4.40001,-199.621,0
177,0,-12.8495,17.7294,-453.347,91142.8,2291.38,-4542.55,5.05448,-201.045,0
178,0,-13.3986,17.931,-452.22,91238.6,2478.42,-4598.84,5.48096,-201.758,0
179,0,-13.7136,19.0627,-449.014,90771,2603.75,-4646.42,5.79922,-202.158,0
180,0,-12.8638,19.6603,-445.804,90397.6,2706.15,-4323.98,6.07024,-202.774,0
181,0,-12.8842,19.8481,-446.223,90559.6,2843.96,-4210.7,6.37336,-202.947,0
182,0,-13.0757,19.9479,-447.537,90987,2902.48,-4189.81,6.48531,-203.306,0
183,0,-13.2873,19.9144,-449.997,91599.4,2963.49,-4183.21,6.58574,-203.556,0
184,0,-12.4629,19.1979,-453.142,92263.2,2886.22,-4386.72,6.36997,-203.608,0
185,0,-13.578,20.1102,-455.618,92876.7,2646.99,-4501.93,5.80977,-203.848,0
